[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=5-axis Cradle safety limit, Owner=User, Creation date=2021/03/24 15:36:14"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-x-y-z stage 240 mm; Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size X:0.01; Minimum step size Y:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\User\Documents\User\Shimomura lab\program_shimomura lab\TiO2-LAO rocking_+-1degree Ge220 dcore.xrdmp, Identifier={DD526183-C357-4FE3-858F-4B5514FCD3D8}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0130 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Divergence slit,Fixed,0.76mm
Monochromator used,YES
Generator voltage, 45
Tube current, 40
File date and time,25/7/2022 10:45
Unit cell,
h k l, 0 0 0
Scan axis,Omega
Scan range,8.95430,28.90430
Scan step size,0.0500000
No. of points, 399
Scan type,CONTINUOUS
2Theta,37.8585
Phi,0.00
Psi,0.00
X,0.00
Y,0.00
Z,9.338
Time per step,0.440
[Scan points]
Angle, TimePerStep, Intensity, ESD
14.82930, 0.440, 2486.0, 49.8598
14.87930, 0.440, 2660.0, 51.5752
14.92930, 0.440, 2776.0, 52.6878
14.97930, 0.440, 2871.0, 53.5817
15.02930, 0.440, 2953.0, 54.3415
15.07930, 0.440, 3001.0, 54.7814
15.12930, 0.440, 3133.0, 55.9732
15.17930, 0.440, 3205.0, 56.6127
15.22930, 0.440, 3328.0, 57.6888
15.27930, 0.440, 3416.0, 58.4466
15.32930, 0.440, 3464.0, 58.8558
15.37930, 0.440, 3533.0, 59.4390
15.42930, 0.440, 3691.0, 60.7536
15.47930, 0.440, 3855.0, 62.0886
15.52930, 0.440, 3966.0, 62.9762
15.57930, 0.440, 4024.0, 63.4350
15.62930, 0.440, 4270.0, 65.3452
15.67930, 0.440, 4304.0, 65.6049
15.72930, 0.440, 4322.0, 65.7419
15.77930, 0.440, 4577.0, 67.6535
15.82930, 0.440, 4679.0, 68.4032
15.87930, 0.440, 4728.0, 68.7605
15.92930, 0.440, 5021.0, 70.8590
15.97930, 0.440, 5096.0, 71.3863
16.02930, 0.440, 5326.0, 72.9794
16.07930, 0.440, 5481.0, 74.0338
16.12930, 0.440, 5616.0, 74.9400
16.17930, 0.440, 5919.0, 76.9350
16.22930, 0.440, 5980.0, 77.3305
16.27930, 0.440, 6234.0, 78.9557
16.32930, 0.440, 6440.0, 80.2496
16.37930, 0.440, 6742.0, 82.1097
16.42930, 0.440, 6958.0, 83.4146
16.47930, 0.440, 6977.0, 83.5284
16.52930, 0.440, 7128.0, 84.4275
16.57930, 0.440, 7515.0, 86.6891
16.62930, 0.440, 7658.0, 87.5100
16.67930, 0.440, 7861.0, 88.6623
16.72930, 0.440, 8005.0, 89.4707
16.77930, 0.440, 8355.0, 91.4057
16.82930, 0.440, 8615.0, 92.8170
16.87930, 0.440, 8833.0, 93.9840
16.92930, 0.440, 9129.0, 95.5458
16.97930, 0.440, 9399.0, 96.9484
17.02930, 0.440, 9615.0, 98.0561
17.07930, 0.440, 9965.0, 99.8248
17.12930, 0.440, 10253.0, 101.2571
17.17930, 0.440, 10635.0, 103.1261
17.22930, 0.440, 10839.0, 104.1105
17.27930, 0.440, 11214.0, 105.8962
17.32930, 0.440, 11379.0, 106.6724
17.37930, 0.440, 11801.0, 108.6324
17.42930, 0.440, 11985.0, 109.4760
17.47930, 0.440, 12260.0, 110.7249
17.52930, 0.440, 12729.0, 112.8229
17.57930, 0.440, 12790.0, 113.0929
17.62930, 0.440, 13383.0, 115.6849
17.67930, 0.440, 13625.0, 116.7262
17.72930, 0.440, 13928.0, 118.0169
17.77930, 0.440, 14491.0, 120.3786
17.82930, 0.440, 14645.0, 121.0165
17.87930, 0.440, 14855.0, 121.8811
17.92930, 0.440, 15270.0, 123.5718
17.97930, 0.440, 15741.0, 125.4631
18.02930, 0.440, 16194.0, 127.2556
18.07930, 0.440, 16285.0, 127.6127
18.12930, 0.440, 16425.0, 128.1601
18.17930, 0.440, 16848.0, 129.7998
18.22930, 0.440, 17387.0, 131.8598
18.27930, 0.440, 17602.0, 132.6725
18.32930, 0.440, 17779.0, 133.3379
18.37930, 0.440, 18247.0, 135.0815
18.42930, 0.440, 18485.0, 135.9596
18.47930, 0.440, 18655.0, 136.5833
18.52930, 0.440, 18666.0, 136.6236
18.57930, 0.440, 19052.0, 138.0290
18.62930, 0.440, 19140.0, 138.3474
18.67930, 0.440, 19471.0, 139.5385
18.72930, 0.440, 19812.0, 140.7551
18.77930, 0.440, 19663.0, 140.2248
18.82930, 0.440, 19892.0, 141.0390
18.87930, 0.440, 20005.0, 141.4390
18.92930, 0.440, 19925.0, 141.1559
18.97930, 0.440, 19687.0, 140.3104
19.02930, 0.440, 19482.0, 139.5779
19.07930, 0.440, 19346.0, 139.0899
19.12930, 0.440, 19279.0, 138.8488
19.17930, 0.440, 18900.0, 137.4773
19.22930, 0.440, 18485.0, 135.9596
19.27930, 0.440, 17964.0, 134.0298
19.32930, 0.440, 18025.0, 134.2572
19.37930, 0.440, 17363.0, 131.7687
19.42930, 0.440, 17085.0, 130.7096
19.47930, 0.440, 17034.0, 130.5144
19.52930, 0.440, 16461.0, 128.3004
19.57930, 0.440, 16076.0, 126.7912
19.62930, 0.440, 15403.0, 124.1088
19.67930, 0.440, 15082.0, 122.8088
19.72930, 0.440, 14835.0, 121.7990
19.77930, 0.440, 14594.0, 120.8056
19.82930, 0.440, 14251.0, 119.3776
19.87930, 0.440, 13554.0, 116.4216
19.92930, 0.440, 13401.0, 115.7627
19.97930, 0.440, 13041.0, 114.1972
20.02930, 0.440, 12641.0, 112.4322
20.07930, 0.440, 12308.0, 110.9414
20.12930, 0.440, 12169.0, 110.3132
20.17930, 0.440, 11530.0, 107.3778
20.22930, 0.440, 11138.0, 105.5367
20.27930, 0.440, 10615.0, 103.0291
20.32930, 0.440, 10453.0, 102.2399
20.37930, 0.440, 10289.0, 101.4347
20.42930, 0.440, 10007.0, 100.0350
20.47930, 0.440, 9655.0, 98.2599
20.52930, 0.440, 9299.0, 96.4313
20.57930, 0.440, 9076.0, 95.2680
20.62930, 0.440, 8629.0, 92.8924
20.67930, 0.440, 8432.0, 91.8259
20.72930, 0.440, 8391.0, 91.6024
20.77930, 0.440, 7890.0, 88.8257
20.82930, 0.440, 7698.0, 87.7382
20.87930, 0.440, 7436.0, 86.2322
20.92930, 0.440, 7184.0, 84.7585
20.97930, 0.440, 6908.0, 83.1144
21.02930, 0.440, 6760.0, 82.2192
21.07930, 0.440, 6334.0, 79.5864
21.12930, 0.440, 6335.0, 79.5927
21.17930, 0.440, 5928.0, 76.9935
21.22930, 0.440, 5947.0, 77.1168
21.27930, 0.440, 5683.0, 75.3857
21.32930, 0.440, 5587.0, 74.7462
21.37930, 0.440, 5170.0, 71.9027
21.42930, 0.440, 5112.0, 71.4983
21.47930, 0.440, 4897.0, 69.9786
21.52930, 0.440, 4620.0, 67.9706
21.57930, 0.440, 4603.0, 67.8454
21.62930, 0.440, 4364.0, 66.0606
21.67930, 0.440, 4288.0, 65.4828
21.72930, 0.440, 4197.0, 64.7843
21.77930, 0.440, 3994.0, 63.1981
21.82930, 0.440, 3855.0, 62.0886
21.87930, 0.440, 3696.0, 60.7947
21.92930, 0.440, 3536.0, 59.4643
21.97930, 0.440, 3494.0, 59.1101
22.02930, 0.440, 3345.0, 57.8360
22.07930, 0.440, 3206.0, 56.6216
22.12930, 0.440, 3124.0, 55.8928
22.17930, 0.440, 2943.0, 54.2494
22.22930, 0.440, 2989.0, 54.6717
22.27930, 0.440, 2723.0, 52.1824
22.32930, 0.440, 2662.0, 51.5946
22.37930, 0.440, 2643.0, 51.4101
22.42930, 0.440, 2528.0, 50.2792
22.47930, 0.440, 2393.0, 48.9183
22.52930, 0.440, 2414.0, 49.1325
22.57930, 0.440, 2266.0, 47.6025
22.62930, 0.440, 2257.0, 47.5079
22.67930, 0.440, 2098.0, 45.8039
22.72930, 0.440, 2052.0, 45.2990
22.77930, 0.440, 1970.0, 44.3847
22.82930, 0.440, 1826.0, 42.7317
22.87930, 0.440, 1749.0, 41.8210
22.92930, 0.440, 1745.0, 41.7732
22.97930, 0.440, 1745.0, 41.7732
23.02930, 0.440, 1655.0, 40.6817
23.07930, 0.440, 1574.0, 39.6737
23.12930, 0.440, 1561.0, 39.5095
23.17930, 0.440, 1443.0, 37.9868
23.22930, 0.440, 1408.0, 37.5233
23.27930, 0.440, 1366.0, 36.9594
23.32930, 0.440, 1365.0, 36.9459
23.37930, 0.440, 1319.0, 36.3180
23.42930, 0.440, 1222.0, 34.9571
23.47930, 0.440, 1204.0, 34.6987
23.52930, 0.440, 1120.0, 33.4664
23.57930, 0.440, 1170.0, 34.2053
23.62930, 0.440, 1085.0, 32.9393
23.67930, 0.440, 1121.0, 33.4813
23.72930, 0.440, 1017.0, 31.8904
23.77930, 0.440, 1042.0, 32.2800
23.82930, 0.440, 972.0, 31.1769
23.87930, 0.440, 980.0, 31.3050
23.92930, 0.440, 922.0, 30.3645
23.97930, 0.440, 879.0, 29.6479
24.02930, 0.440, 853.0, 29.2062
24.07930, 0.440, 832.0, 28.8444
24.12930, 0.440, 800.0, 28.2843
24.17930, 0.440, 728.0, 26.9815
24.22930, 0.440, 738.0, 27.1662
24.27930, 0.440, 702.0, 26.4953
24.32930, 0.440, 690.0, 26.2679
24.37930, 0.440, 683.0, 26.1343
24.42930, 0.440, 676.0, 26.0000
24.47930, 0.440, 648.0, 25.4558
24.52930, 0.440, 577.0, 24.0208
24.57930, 0.440, 599.0, 24.4745
24.62930, 0.440, 599.0, 24.4745
24.67930, 0.440, 600.0, 24.4949
24.72930, 0.440, 520.0, 22.8035
24.77930, 0.440, 525.0, 22.9129
24.82930, 0.440, 495.0, 22.2486
24.87930, 0.440, 515.0, 22.6936
24.92930, 0.440, 453.0, 21.2838
24.97930, 0.440, 451.0, 21.2368
25.02930, 0.440, 456.0, 21.3542
25.07930, 0.440, 480.0, 21.9089
25.12930, 0.440, 438.0, 20.9284
25.17930, 0.440, 418.0, 20.4450
25.22930, 0.440, 426.0, 20.6398
25.27930, 0.440, 390.0, 19.7484
25.32930, 0.440, 380.0, 19.4936
25.37930, 0.440, 387.0, 19.6723
25.42930, 0.440, 379.0, 19.4679
25.47930, 0.440, 396.0, 19.8997
25.52930, 0.440, 376.0, 19.3907
25.57930, 0.440, 311.0, 17.6352
25.62930, 0.440, 335.0, 18.3030
25.67930, 0.440, 292.0, 17.0880
25.72930, 0.440, 294.0, 17.1464
25.77930, 0.440, 331.0, 18.1934
25.82930, 0.440, 287.0, 16.9411
25.87930, 0.440, 278.0, 16.6733
25.92930, 0.440, 279.0, 16.7033
25.97930, 0.440, 273.0, 16.5227
26.02930, 0.440, 260.0, 16.1245
26.07930, 0.440, 267.0, 16.3401
26.12930, 0.440, 254.0, 15.9374
26.17930, 0.440, 224.0, 14.9666
26.22930, 0.440, 270.0, 16.4317
26.27930, 0.440, 249.0, 15.7797
26.32930, 0.440, 229.0, 15.1327
26.37930, 0.440, 250.0, 15.8114
26.42930, 0.440, 230.0, 15.1658
26.47930, 0.440, 210.0, 14.4914
26.52930, 0.440, 217.0, 14.7309
26.57930, 0.440, 190.0, 13.7840
26.62930, 0.440, 212.0, 14.5602
26.67930, 0.440, 226.0, 15.0333
26.72930, 0.440, 238.0, 15.4272
26.77930, 0.440, 214.0, 14.6287
26.82930, 0.440, 221.0, 14.8661
26.87930, 0.440, 200.0, 14.1421
26.92930, 0.440, 176.0, 13.2665
26.97930, 0.440, 181.0, 13.4536
27.02930, 0.440, 204.0, 14.2829
27.07930, 0.440, 191.0, 13.8203
27.12930, 0.440, 158.0, 12.5698
27.17930, 0.440, 181.0, 13.4536
27.22930, 0.440, 191.0, 13.8203
27.27930, 0.440, 184.0, 13.5647
27.32930, 0.440, 163.0, 12.7671
27.37930, 0.440, 142.0, 11.9164
27.42930, 0.440, 183.0, 13.5277
27.47930, 0.440, 137.0, 11.7047
27.52930, 0.440, 137.0, 11.7047
27.57930, 0.440, 140.0, 11.8322
27.62930, 0.440, 150.0, 12.2474
